TOX-A	TOX-B	mGFP-A	mGFP-B
Rian	3	0	0	0
Mir341	0	0	0	0
Mir1188	0	0	0	0
Gm23912	0	0	0	0
Mir370	0	0	0	0
Gm24564	0	0	0	0
Gm23474	0	0	0	0
AF357425	0	0	0	0
RP23-204I16.2	0	0	0	0
Gm24899	0	0	0	0
Gm23600	0	0	0	0
Gm24895	0	0	0	0
DQ267100	0	0	0	0
DQ267101	0	0	0	0
Gm23508	0	0	0	0
Gm26922	0	0	0	0
DQ267102	0	0	0	0
Gm25357	0	0	0	0
Gm27604	0	0	0	0
RP23-204I16.3	0	0	0	0
Gm23347	0	0	0	0
AF357428	0	0	0	0
Gm23736	0	0	0	0
AF357341	0	0	0	0
Mir882	0	0	0	0
Gm22981	0	0	0	0
Gm25856	0	0	0	0
Gm23787	0	0	0	0
Gm25854	0	0	0	0
Gm22205	0	0	0	0
Gm25224	0	0	0	0
RP23-378G4.2	0	0	0	0
Mir379	0	0	0	0
Mir411	0	0	0	0
Mir299a	0	0	0	0
Mir299b	0	0	0	0
Gm25750	0	0	0	0
Mir380	0	0	0	0
Mir1197	0	0	0	0
Mir323	0	0	0	0
Mir758	0	0	0	0
Mir329	0	0	0	0
Mir494	0	0	0	0
Mir679	0	0	0	0
Mir1193	0	0	0	0
Mir666	0	0	0	0
Mir543	0	0	0	0
Mir495	0	0	0	0
Mir667	0	0	0	0
Mir376c	0	0	0	0
Mir654	0	0	0	0
Mir376b	0	0	0	0
Gm25252	0	0	0	0
Mir376a	0	0	0	0
Mir300	0	0	0	0
Mir381	0	0	0	0
Mir487b	0	0	0	0
Gm44322	0	0	0	0
Mir539	0	0	0	0
Gm27379	0	0	0	0
Mir544	0	0	0	0
Mirg	0	0	0	0
Mir382	0	0	0	0
Mir134	0	0	0	0
Mir668	0	0	0	0
Mir485	0	0	0	0
Mir453	0	0	0	0
Mir154	0	0	0	0
Mir496a	0	0	0	0
Mir377	0	0	0	0
Mir541	0	0	0	0
Mir409	0	0	0	0
Gm24321	0	0	0	0
Mir412	0	0	0	0
Mir369	0	0	0	0
Mir410	0	0	0	0
Mir3072	0	0	0	0
RP24-122E10.2	0	0	0	0
RP24-122E10.1	33	29	49	44
RP24-122E10.4	0	0	0	0
RP23-274K4.1	0	0	0	0
RP23-274K4.3	0	0	0	0
RP23-274K4.2	0	0	0	0
RP23-68M8.1	0	0	0	0
RP23-68M8.2	0	0	0	0
RP23-68M8.4	0	0	0	0
RP23-68M8.5	0	0	0	0
RP23-68M8.6	0	0	0	0
RP23-392O3.2	0	0	0	0
Mir1247	0	0	0	0
Dio3	0	0	0	0
RP23-392O3.3	32	43	42	39
RP23-392O3.4	9	3	2	4
RP23-392O3.5	0	0	0	0
Ppp2r5c	12063	10728	9005	10471
RP23-403P3.1	268	221	304	289
RP23-60K23.7	31	43	70	58
RP23-60K23.8	0	0	0	0
RP23-60K23.9	0	0	0	0
RP23-60K23.10	31	44	40	14
Dync1h1	2633	2207	3567	2441
RP23-60K23.3	0	0	2	2
RP23-60K23.12	1	4	11	0
Gm27299	0	0	0	0
Hsp90aa1	17103	20751	11056	16179
Wdr20	2504	2472	1993	2442
Mok	14	5	0	0
RP23-367G12.4	0	0	0	3
RP23-367G12.5	0	4	0	3
Zfp839	404	460	268	337
Mpc1-ps	357	340	380	386
Cinp	4034	3619	3272	3311
RP23-367G12.8	7	29	5	0
Tecpr2	523	450	557	385
Rps19-ps6	336	283	445	384
Ankrd9	501	376	227	296
RP23-78F1.3	0	0	0	0
RP23-78F1.4	0	0	0	0
RP23-78F1.5	0	0	0	0
Rcor1	1022	1097	1227	1054
RP23-78F1.6	3	2	7	5
RP23-78F1.8	5	0	0	3
RP24-372O13.2	10	8	21	9
Traf3	1670	1455	1209	1175
Amn	0	0	5	3
RP23-447P16.3	0	0	0	0
Cdc42bpb	6	1	16	4
RP23-41J14.2	0	0	0	0
Exoc3l4	0	2	0	0
RP23-41J14.4	0	0	0	1
Tnfaip2	15	11	9	1
RP23-41J14.6	2	2	0	0
RP23-41J14.5	0	3	0	0
Eif5	13244	14370	8545	11876
Snora28	0	0	0	0
RP23-3K10.2	0	0	0	4
RP23-3K10.3	0	9	26	8
Mark3	726	849	438	416
RP24-571D21.2	3	0	0	2
Ckb	1106	1735	1432	941
Trmt61a	1655	1681	1951	2016
RP23-16D9.7	0	0	0	11
Bag5	3924	3837	3087	4201
Apopt1	2166	2061	2285	2792
RP23-16D9.5	0	0	0	0
RP23-16D9.6	0	1	2	1
Klc1	2476	2467	2087	1895
Xrcc3	1088	1019	901	971
Zfyve21	743	616	750	597
Ppp1r13b	442	487	321	347
RP23-16D9.10	2	0	4	1
RP23-123N23.2	2	2	3	2
RP23-123N23.3	48	47	14	45
RP23-123N23.4	18	0	0	4
RP23-123N23.5	2262	2158	2488	2000
Tdrd9	0	0	0	0
Rd3l	0	0	0	0
Aspg	0	0	0	0
Mir3073a	0	0	0	0
Mir3073b	0	0	0	0
Mir203	0	0	0	0
Kif26a	0	0	0	0
RP23-2N4.4	0	0	0	0
RP24-457N12.1	0	0	0	0
RP23-102G6.1	0	0	0	0
RP23-102G6.2	0	0	0	0
RP23-102G6.3	0	0	0	0
RP23-383E9.1	0	0	0	0
Tmem179	0	0	0	0
Inf2	120	154	166	122
Adssl1	249	448	225	219
Siva1	3895	3425	3705	3292
Akt1	2617	2140	2266	1595
Mir6939	0	0	0	0
Zbtb42	144	147	145	92
RP24-562D16.4	31	12	26	98
Cep170b	1414	895	1331	765
Mir6940	0	0	0	0
RP24-481I14.4	0	0	0	0
Pld4	165	112	28	68
Ahnak2	105	40	59	9
RP24-380G7.1	139	59	113	52
Cdca4	9355	8477	7615	7238
Gpr132	650	747	827	500
RP24-380G7.5	2	0	5	1
RP24-380G7.4	0	0	3	0
Jag2	592	597	443	317
Mir6941	0	0	0	0
Nudt14	1474	1216	1435	1373
RP24-380G7.8	12	0	19	2
Brf1	2682	2799	1528	2092
RP23-201H14.3	4	6	0	3
Btbd6	1050	1168	777	856
RP23-201H14.5	0	6	7	38
Pacs2	1426	1197	1131	718
Gm44471	0	0	0	0
Tex22	2	3	18	1
Mta1	384	328	607	313
Crip2	827	728	925	519
Crip1	13660	13085	17370	13351
RP24-468O24.4	4043	3792	2025	2282
RP24-468O24.5	1	1	0	0
Tmem121	116	108	46	51
Gm25622	0	0	0	0
Igha	0	3	0	12
Ighe	0	0	0	0
Ighg2c	0	0	0	0
Ighg2b	0	0	0	0
RP23-351J19.5	0	0	0	0
Ighg1	13	0	0	0
Ighg3	110	10	0	6
RP24-374C7.4	0	0	0	0
RP24-374C7.1	20	21	17	21
RP24-374C7.3	0	0	0	0
RP24-374C7.2	0	0	0	0
Ighd	25	50	43	44
Ighm	23397	18249	30202	35146
Gm25747	0	1	0	1
Gm24022	0	0	0	0
Gm22175	1	2	0	0
Ighj4	6	1	4	7
Ighj3	4	1	0	9
Ighj2	8	1	4	5
Ighj1	132	84	142	190
Ighd4-1	4	0	7	5
Ighd3-2	3	0	0	0
Ighd5-6	0	0	0	0
Ighd2-8	0	0	0	0
Ighd5-5	0	0	0	0
Ighd2-7	0	0	0	0
Ighd5-8	0	0	0	0
Ighd5-4	0	0	0	0
Ighd2-6	0	0	0	0
Ighd5-7	0	0	0	0
Ighd5-3	0	0	0	0
Ighd2-5	0	0	0	0
RP23-270B12.15	0	0	0	0
Ighd5-2	0	0	0	0
Ighd2-4	0	0	0	0
Ighd6-2	0	0	0	0
RP23-270B12.27	0	0	0	0
Ighd2-3	0	0	0	0
Ighd6-1	0	0	0	0
Ighd1-1	0	0	0	0
Adam6b	1	0	0	0
Ighd3-1	0	0	0	0
Ighd5-1	0	0	0	0
Ighd1-3	0	0	0	0
Adam6a	0	0	0	0
Ighv5-1	0	0	0	0
Ighv2-1	0	0	0	0
Ighv5-2	0	0	0	0
Ighv2-2	0	0	0	0
Ighv5-3	0	0	0	0
Ighv5-4	0	0	0	0
Ighv6-1	0	0	0	0
Ighv2-3	0	0	0	0
Ighv5-5	0	0	0	0
Ighv5-6	0	0	0	0
RP23-404D8.10	19	22	9	21
Ighv5-7	0	0	0	0
Ighv2-4	0	0	0	0
Ighv5-8	0	0	0	0
Ighv5-9	0	0	0	0
Ighv5-10	0	0	0	0
RP23-404D8.17	0	0	0	0
Ighv2-5	0	0	0	0
Ighv5-11	0	0	0	0
Ighv5-12	0	0	0	0
Ighv2-6	0	0	0	0
RP23-333D9.3	0	0	0	0
RP23-333D9.2	0	0	0	0
Ighv5-9-1	0	0	0	0
RP23-333D9.6	0	0	0	0
Ighv5-12-4	0	0	0	0
RP23-333D9.10	0	0	0	0
Ighv2-9-1	0	0	0	0
RP23-333D9.11	0	0	0	0
Ighv5-13	0	0	0	0
Ighv2-6-8	0	0	0	0
RP23-333D9.12	0	0	0	0
Ighv2-7	0	0	0	0
Rpl26-ps3	0	0	0	0
Ighv5-15	1	0	0	0
Ighv5-16	0	0	0	0
Ighv5-17	0	0	0	0
Ighv5-18	0	0	0	0
Ighv2-8	0	0	0	0
Ighv2-9	0	0	0	0
Ighv5-19	0	0	0	0
Ighv7-1	0	0	0	0
Ighv7-2	0	0	0	0
Ighv14-1	0	0	0	0
Ighv4-1	0	0	0	0
Ighv3-1	0	0	0	0
RP23-373N4.11	0	0	0	0
Ighv11-1	0	0	0	0
Ighv14-2	0	0	0	0
Ighv4-2	0	0	0	0
Ighv3-2	0	0	0	0
Ighv11-2	0	0	0	0
Ighv14-3	0	0	0	0
Ighv16-1	0	0	0	0
Ighv6-2	0	0	0	0
Ighv9-1	0	0	0	0
Ighv12-1	0	0	0	0
Ighv9-2	0	0	0	0
Ighv12-2	0	0	0	0
Ighv9-3	0	0	0	0
Ighv7-3	0	0	0	0
Ighv15-1	0	0	0	0
Ighv14-4	0	0	0	0
RP23-147E23.5	0	0	0	0
Ighv3-3	0	0	0	0
Ighv7-4	0	0	0	0
Ighv3-4	0	0	0	0
Ighv3-5	0	0	0	0
RP23-147E23.9	0	0	0	0
Ighv13-1	0	0	0	0
Ighv3-6	0	0	0	0
Ighv9-4	0	0	0	0
Ighv3-7	0	0	0	0
Ighv5-21	0	0	0	0
Ighv3-8	0	0	0	0
Ighv8-1	0	0	0	0
Ighv1-1	0	0	0	0
Ighv13-2	0	0	0	0
Ighv12-3	0	0	0	0
Ighv6-3	106	80	4	1
Ighv6-4	0	0	0	0
Ighv6-5	0	0	0	0
Ighv6-6	2	4	0	1
Ighv6-7	0	0	0	0
Ighv8-2	0	0	0	0
Ighv1-2	0	0	0	0
Mir7094-1	0	0	0	0
Ighv10-1	0	0	1	0
Ighv1-3	0	0	0	0
Ighv1-4	0	0	0	0
Ighv10-2	0	0	0	0
Ighv1-5	0	0	0	0
Mir7094-2	0	0	0	0
Ighv10-3	0	0	0	0
Ighv1-6	0	0	0	0
Ighv1-7	0	0	0	0
Ighv10-4	0	0	0	0
Ighv1-8	0	0	0	0
Ighv15-2	0	0	0	0
Ighv1-9	0	0	0	0
Ighv1-10	0	0	0	0
Ighv1-11	0	0	0	0
Ighv1-12	0	0	0	0
Ighv1-13	0	0	0	0
Ighv1-14	0	0	0	0
Ighv1-15	0	0	0	0
Ighv1-16	0	0	0	0
Ighv1-17-1	0	0	0	0
Ighv1-17	0	0	0	0
Ighv1-18	0	0	0	0
Ighv1-19-1	0	0	0	0
Ighv1-19	0	0	0	0
Ighv1-20	0	0	0	0
Ighv1-21-1	0	0	0	0
Ighv1-21	0	0	0	0
Ighv1-22	0	0	0	0
Ighv1-23	1	0	3	3
Ighv1-24	0	0	0	0
Ighv1-25	0	2	0	0
Ighv1-26	0	0	0	0
Ighv1-27	0	0	0	0
Ighv1-28	0	0	0	0
Ighv1-29	0	3	0	0
Ighv1-30	0	0	0	0
Ighv1-31	0	0	0	0
Ighv1-32	1	4	0	0
Ighv1-33	0	0	0	0
Ighv1-34	0	0	0	0
Ighv1-35	0	0	0	0
Ighv1-36	0	0	0	0
Ighv1-37	0	0	0	0
Ighv1-38	0	0	0	0
Ighv1-39	0	0	0	0
Ighv1-40	0	0	0	0
Ighv1-41	0	0	0	0
Ighv1-42	0	0	0	0
Ighv1-43	0	0	0	0
Ighv1-44	0	0	0	0
Ighv1-45	0	0	0	0
Ighv1-46	0	0	0	0
Ighv1-47	0	1	0	0
Ighv8-3	0	0	0	0
Ighv8-4	0	0	0	0
Ighv1-48	0	0	0	0
Ighv1-49	0	0	0	0
Ighv8-5	0	0	0	0
Ighv1-50	0	0	0	0
Ighv1-51	0	0	0	0
Ighv1-52	0	0	0	0
Ighv1-53	0	0	0	0
Ighv8-6	0	0	1	0
RP23-257D2.7	0	0	0	0
Ighv1-54	0	0	0	0
Ighv1-55	0	0	0	0
RP23-257D2.10	0	0	0	0
Ighv1-56	0	0	0	0
RP23-354D10.2	10	5	4	3
Ighv8-7	0	0	0	0
RP23-354D10.5	0	15	0	3
Ighv1-57	0	0	0	0
Ighv8-8	0	0	0	0
Ighv1-58	0	0	0	0
Ighv1-59	0	0	0	0
Ighv1-60	0	0	0	0
Ighv1-61	0	0	0	0
Ighv1-62	0	0	0	0
Ighv1-62-1	0	0	0	0
RP24-350F17.2	0	0	6	0
RP24-350F17.4	0	0	0	0
RP24-350F17.5	0	0	0	0
Ighv1-62-2	0	0	0	0
Ighv1-62-3	0	0	0	0
Ighv8-9	0	0	0	0
RP24-350F17.8	0	0	0	0
Ighv1-63	0	0	0	0
Gm27722	0	0	0	0
Ighv1-64	0	0	4	0
Ighv8-10	0	0	0	0
RP23-218B2.1	0	0	0	0
Ighv1-65	0	0	0	0
RP23-218B2.3	4	2	5	3
Ighv8-11	0	0	0	0
Rpl7a-ps2	0	0	0	0
Ighv1-66	0	0	0	0
Ighv1-67	0	7	0	0
Ighv1-68	0	0	0	0
RP23-218B2.9	0	0	0	0
RP23-218B2.10	0	0	0	1
Ighv1-69	0	0	0	0
Ighv8-12	0	0	0	0
RP23-218B2.13	0	0	0	0
RP23-218B2.14	0	0	0	0
Ighv1-70	0	0	0	0
Mir6388	0	0	0	0
Ighv1-71	0	0	0	0
Ighv1-72	0	0	0	0
Ighv8-13	0	0	0	0
RP23-123N21.1	0	0	0	0
Ighv1-73	0	0	0	0
Ighv1-74	0	2	1	0
Ighv8-14	0	0	0	0
RP23-123N21.5	0	0	0	0
RP23-123N21.6	0	0	0	1
Ighv1-75	0	0	0	0
Ighv8-15	0	0	0	0
Ighv1-76	0	0	0	1
Ighv8-16	0	0	0	0
Ighv1-77	0	0	0	0
Ighv1-78	0	0	0	0
RP23-172K2.2	0	0	0	0
RP23-172K2.1	0	0	0	0
Ighv1-79	0	0	0	0
RP23-172K2.4	3	6	3	2
Ighv1-80	0	0	0	0
Ighv1-81	0	0	0	0
RP23-172K2.8	0	0	0	0
Olfr241-ps1	0	0	0	0
Ighv1-82	0	0	0	0
Ighv1-83	0	0	0	0
Ighv1-84	0	0	0	0
RP23-172K2.12	6	11	7	3
Ighv1-85	0	0	0	0
Ighv1-86	0	0	0	0
Zfp386	1087	1307	776	1291
Vipr2	22	13	0	18
RP24-386J17.2	0	2	0	13
RP24-386J17.4	0	0	0	0
Gm44372	0	0	0	0
RP24-386J17.3	0	1	0	0
Gm23732	0	0	0	0
Wdr60	126	115	76	100
Gm23190	0	0	0	0
Gm11027	0	0	0	0
RP23-38P6.1	0	2	1	0
Esyt2	4235	4269	1734	2908
RP24-264B23.2	628	538	394	370
Ncapg2	5350	5204	2057	2615
Gm25112	0	0	0	0
Gm27649	0	0	0	0
Ptprn2	0	0	0	0
RP23-429J21.2	0	0	0	2
RP24-281B5.1	0	0	0	1
RP24-262L7.1	0	0	0	0
RP23-393F10.2	0	0	0	0
RP23-393F10.3	0	0	0	0
Mir153	0	0	0	0
Rapgef5	17	51	17	24
Gm24741	0	0	0	0
RP23-334L22.1	0	0	0	0
RP23-334L22.2	0	0	0	0
Cdca7l	8809	8029	6601	7470
RP23-67O10.2	0	0	0	0
Dnah11	67	58	26	2
RP24-144G20.2	29	53	44	46
Sp4	1020	948	750	607
Gm25577	0	0	0	0
RP24-403G3.1	0	0	0	0
RP24-403G3.2	1	0	2	1
RP23-47I1.1	0	0	0	0
Gm22537	0	0	0	0
RP23-167A18.4	0	0	0	0
RP23-167A18.3	0	0	0	0
Sp8	0	0	0	0
Abcb5	0	0	0	0
RP24-449M10.2	0	0	0	0
Itgb8	0	0	0	0
RP24-250I16.1	42	40	40	43
Macc1	0	0	0	0
RP24-159M5.1	3	3	4	5
RP24-173K19.2	0	0	0	0
RP23-302G15.1	0	0	0	0
RP23-435C1.3	1	0	0	0
RP23-435C1.1	0	0	1	0
RP23-435C1.2	0	0	0	0
Gm25675	0	0	0	0
Tmem196	0	0	0	0
RP23-307N19.2	0	0	0	0
RP24-459P6.2	0	0	0	0
RP23-476A7.1	0	0	0	0
RP23-288O24.1	0	0	0	0
RP23-288O24.2	0	0	0	0
RP23-288O24.6	0	0	0	0
RP23-288O24.5	0	0	0	0
RP23-288O24.3	30	21	13	19
RP23-288O24.4	0	0	0	0
Speer6-ps1	0	0	0	0
RP23-223E16.3	0	0	0	0
RP23-223E16.4	96	116	127	99
RP23-476A7.2	0	0	0	0
RP23-476A7.3	1	1	0	0
RP23-476A7.4	0	0	0	0
RP23-288O24.7	0	0	0	0
RP24-459P6.1	20	17	14	2
Gdi2	17460	17280	13166	15244
RP23-262I17.3	19	31	23	17
Fam208b	1090	1314	600	1190
Asb13	1217	1065	811	1492
Gm23084	0	0	0	1
RP24-534D4.5	0	0	0	0
RP24-534D4.3	0	0	0	0
Calml3	0	0	0	0
RP24-534D4.4	0	0	0	0
Calm4	0	0	1	0
Calm5	0	0	0	0
Net1	2806	2806	1573	2647
RP24-383P22.2	46	56	7	18
Tubal3	0	0	0	0
Ucn3	0	0	0	0
Gm22460	0	0	0	0
RP23-263E3.1	0	0	0	0
RP23-193M8.3	0	0	0	0
Akr1c14	0	0	0	0
RP23-193M8.4	0	0	0	0
RP23-193M8.5	0	0	0	0
Akr1c18	90	69	108	7
RP23-193M8.6	0	0	0	0
RP23-193M8.7	0	0	0	0
Akr1c13	5141	5533	4240	5236
Akr1c19	1	0	0	0
Marcksl1-ps4	0	0	0	0
Akr1c12	1274	1276	859	1258
RP24-449F13.5	0	1	0	1
RP23-263E3.2	0	0	0	0
Akr1c6	0	0	0	0
RP23-462A15.3	0	0	0	0
Akr1c20	0	0	0	0
Akr1c21	0	0	0	0
Akr1e1	1307	1412	932	1093
RP23-324B8.3	2	2	1	2
RP24-165P9.1	0	0	0	0
RP23-283G18.1	0	0	0	0
RP23-283G18.2	5	0	6	0
Gm24790	0	0	0	0
RP23-263E3.3	1	1	0	0
RP24-330K6.2	0	0	0	0
RP24-330K6.1	3	8	7	4
Gm26043	0	0	0	0
RP23-28J6.1	0	0	0	0
Klf6	17369	17496	17203	21164
RP23-28J6.5	0	0	0	0
RP24-534N1.1	0	0	0	0
Gm26259	0	0	0	0
RP24-534N1.2	0	0	0	0
RP24-534N1.3	0	0	0	0
RP23-207N7.1	0	0	0	0
RP23-207N7.2	0	0	0	0
RP23-131H5.1	0	0	0	0
RP24-338I14.3	0	0	0	0
Pitrm1	9234	8880	6441	9169
Pfkp	94633	94149	78336	82232
RP24-338I14.4	5	4	4	2
RP24-316K19.1	0	0	0	0
RP24-316K19.2	0	0	0	0
RP24-316K19.3	0	0	0	0
Gm22689	0	0	0	0
RP23-273I1.1	0	0	0	0
RP23-273I1.2	0	0	0	0
RP24-329L16.1	0	0	0	0
RP24-135I21.1	0	0	0	0
RP24-493K8.2	0	0	0	0
RP24-493K8.1	0	0	0	0
RP23-147I5.1	3	2	2	1
RP24-64M1.1	9	8	17	8
RP23-197F6.1	0	0	0	0
Adarb2	0	0	0	0
RP24-491A6.2	0	0	0	0
RP24-491A6.3	0	0	0	0
RP24-491A6.1	2	3	2	1
RP24-350L19.1	0	0	0	0
RP24-373D10.1	0	0	0	0
RP23-214L14.3	0	0	0	0
Wdr37	1214	1311	1119	1380
RP23-300J20.6	38	81	34	38
RP23-300J20.5	23	11	14	12
RP23-300J20.7	2	0	7	1
Idi1	983	957	490	607
Gm22750	0	0	0	0
RP23-300J20.3	1	0	0	0
RP23-300J20.2	0	0	0	0
Gm25274	0	0	0	0
Gm22115	0	0	0	0
Idi2	0	0	0	0
Gm23923	0	0	0	0
Gtpbp4	7934	8025	5202	7941
RP23-300J20.8	0	0	0	0
RP23-127L14.6	0	0	0	0
RP23-127L14.7	1	0	0	0
Larp4b	6843	7718	3434	5284
Gm23553	3	1	0	4
RP23-127L14.1	3	2	0	3
RP23-68K21.2	3	4	6	2
RP23-68K21.4	0	0	0	0
RP23-68K21.3	0	0	0	0
Dip2c	111	77	81	109
RP23-68K21.6	2	1	0	0
RP23-68K21.7	1	0	0	0
RP23-68K21.8	0	0	0	0
RP23-68K21.9	0	0	0	0
Gm26601	9	2	0	6
RP24-201I19.2	1	0	0	0
RP23-86P2.1	0	0	0	0
RP24-361B1.2	0	0	0	0
Gm23496	0	0	0	0
RP24-361B1.4	0	1	0	0
RP23-220J15.5	2	0	0	6
Zmynd11	4969	4322	3203	4096
RP23-220J15.4	0	1	5	1
RP23-220J15.3	0	20	46	28
RP24-175L7.3	0	0	0	0
Gm24187	142	170	202	150
Chrm3	0	0	0	0
RP24-270C24.1	0	0	0	0
RP24-180C10.1	0	0	0	0
RP24-180C10.2	0	12	0	0
RP24-362N19.3	0	0	0	0
RP24-362N19.1	0	0	0	0
RP23-258N11.1	0	0	0	0
RP23-206D5.1	0	0	0	0
RP23-206D5.2	0	0	0	0
Gm23415	0	0	0	0
RP24-270C24.2	0	0	0	0
RP24-362N19.2	0	0	0	0
Gm25496	0	0	0	0
Zp4-ps	0	0	0	0
RP23-152K15.3	0	0	0	0
Ryr2	1	0	0	0
RP23-474B11.1	0	0	0	0
RP23-23I2.1	6	7	8	5
RP23-23I2.5	0	0	0	0
RP23-23I2.3	0	0	0	0
RP23-23I2.4	0	0	0	0
RP23-78M22.3	0	8	0	0
Mtr	3585	2914	2336	3145
RP23-78M22.2	11	20	12	17
Actn2	201	204	312	246
RP24-373L7.2	2	0	5	2
Heatr1	9952	8826	7063	7484
RP24-373L7.4	0	0	2	1
Lgals8	3009	2561	2297	3447
Edaradd	808	748	447	474
RP23-320I11.1	0	0	0	0
Ero1lb	973	1069	704	739
Gm25483	0	0	0	0
Gpr137b-ps	298	221	334	238
Gm24065	0	0	0	0
RP23-320I11.4	0	0	0	0
RP23-320I11.5	2	1	3	0
RP23-320I11.6	6	3	0	3
RP23-320I11.7	0	0	0	0
RP23-320I11.8	1	2	4	5
RP23-320I11.10	0	0	0	0
RP23-320I11.11	2	3	0	1
Prl2c3	0	0	0	0
RP24-184J17.1	0	0	0	0
RP24-184J17.2	0	0	0	0
RP24-574N19.1	0	0	0	0
RP24-574N19.2	0	0	0	0
Prl2c2	0	0	0	0
RP24-574N19.4	0	0	0	0
RP23-38L5.3	0	0	0	0
RP23-38L5.5	0	0	0	0
RP23-38L5.4	0	0	0	0
RP23-38L5.6	0	0	0	0
RP23-38L5.7	0	0	0	0
RP23-38L5.8	0	0	0	0
Prl2c5	0	0	0	0
RP23-38L5.9	0	0	0	0
RP23-38L5.10	0	0	0	0
RP23-9C19.2	0	0	0	0
RP23-9C19.3	144	120	133	116
RP23-9C19.4	3	6	5	6
RP23-9C19.5	0	0	0	0
Gm26133	0	0	0	0
RP23-9C19.6	0	0	0	0
RP23-9C19.1	0	0	0	0
Gm25804	0	0	0	0
Gpr137b	8	1	0	0
Gm23081	0	0	0	0
RP24-304I22.1	0	0	0	0
RP24-304I22.2	0	0	0	0
RP24-304I22.3	1	0	0	0
Nid1	0	17	0	0
RP24-304I22.4	0	0	0	0
RP23-453M21.2	0	0	0	0
Lyst	2524	2458	2613	2898
Gng4	2	0	0	0
Gm25271	0	0	0	0
RP24-423F5.3	0	0	0	0
RP24-423F5.4	109	75	57	97
RP23-111H19.2	1	2	2	3
RP23-111H19.3	2	0	0	0
RP23-111H19.6	11	22	3	13
B3galnt2	5957	5244	3916	5042
RP23-111H19.4	9	17	17	11
Tbce	2228	2310	1566	2006
RP23-111H19.8	0	0	0	0
Ggps1	4064	3940	3015	4133
Arid4b	2135	2173	1324	2116
Gm26129	0	0	0	1
n-R5s52	0	0	0	0
RP23-332P8.5	34	19	4	17
RP23-332P8.3	0	0	0	0
Hecw1	0	0	0	0
RP24-69N19.1	0	0	0	0
RP23-5A19.1	0	0	0	0
RP23-5A19.3	0	0	0	0
RP23-5A19.4	0	0	0	0
Mrpl32	2602	2321	2360	2580
Psma2	23408	21039	22375	22925
Gm25444	0	0	0	0
RP23-5A19.7	1800	2010	1928	2073
RP24-213L3.1	0	0	0	0
RP24-213L3.2	0	0	0	0
RP24-388B22.3	1	3	8	7
RP24-388B22.2	12	16	9	13
RP23-59P17.3	0	0	0	0
RP23-59P17.2	0	0	0	0
RP23-59P17.1	0	0	0	0
Gli3	0	3	0	0
RP23-26D2.3	0	0	0	0
RP23-29I5.8	0	0	0	0
RP23-29I5.5	0	0	0	0
RP23-29I5.4	0	0	0	0
RP23-29I5.2	0	0	0	0
RP23-29I5.6	0	0	0	0
RP23-259K16.2	0	0	0	0
RP24-457J18.2	0	0	0	0
Inhba	12	8	0	5
RP24-392F16.2	0	0	0	0
Gm22628	0	0	0	0
RP24-392F16.3	0	0	1	0
RP24-392E16.1	1	0	0	1
RP24-392E16.2	0	0	0	0
RP24-140A15.2	0	0	0	0
RP24-140A15.1	0	0	0	0
RP24-358N14.2	0	0	0	0
RP24-358N14.1	1	6	0	1
CAAA01139602.2	0	0	0	0
RP23-352I19.1	1	0	0	1
Sugct	33	17	17	35
Gm26098	0	0	0	0
RP23-346H4.3	0	0	0	0
RP24-377E1.2	0	0	0	0
RP23-346H4.1	1	0	1	0
Gm25020	0	0	0	0
RP23-27A13.1	0	0	0	0
RP23-223P19.1	1	4	0	0
RP24-377E1.5	0	0	0	0
Gm24873	0	0	0	0
Mplkip	2850	2564	2938	3304
RP24-362C22.3	7	4	0	1
Cdk13	356	426	479	272
RP24-549A19.8	1	5	13	11
Mir466i	1	2	3	5
RP24-549A19.5	0	0	0	0
Gm24018	0	0	0	0
RP24-549A19.2	25	32	37	35
Rala	2454	2533	1368	1902
RP23-5P19.5	2	4	0	0
RP24-140A15.3	2	3	0	0
RP23-5P19.9	5	1	14	0
RP23-5P19.4	1	1	3	1
RP23-5P19.10	1	0	0	0
RP23-5P19.8	0	0	0	0
RP23-5P19.12	0	0	0	0
Yae1d1	564	574	469	559
RP23-5P19.11	0	0	0	0
Vdac3-ps1	177	151	135	140
RP23-5P19.7	0	0	0	0
RP24-377E1.4	0	0	0	0
CAAA01139602.1	0	0	0	0
Pou6f2	0	0	0	0
RP23-109N9.2	0	0	0	0
Vps41	5315	5394	3590	5853
Gm26172	0	0	0	0
Amph	3	9	0	0
RP23-122H1.5	0	0	0	0
RP23-122H1.4	0	0	0	0
RP23-122H1.2	0	0	0	0
RP23-122H1.6	0	0	0	0
RP23-122H1.3	0	0	0	0
RP23-167F18.7	28	27	11	9
Tcrg-V7	9	2	0	3
Tcrg-V4	10	15	4	4
Tcrg-V6	4	4	0	0
Tcrg-V5	26	23	5	10
Trgj1	247	240	142	122
Tcrg-C1	5645	5660	3463	3099
Tcrg-V3	4	1	1	0
Trgj3	0	1	1	12
Tcrg-C3	61	89	76	114
Tcrg-C2	1568	1804	1047	1679
Trgj2	51	57	35	43
Trgv2	29	54	36	48
Tcrg-V1	20	10	20	12
Trgj4	14	37	16	41
Tcrg-C4	2100	2883	1265	1945
Stard3nl	3636	3328	3267	3220
RP23-306G1.11	35	37	28	101
RP23-306G1.12	0	0	0	0
RP23-68H13.1	0	0	0	0
