TOX-A	TOX-B	mGFP-A	mGFP-B
RP24-330P10.1	0	0	0	0
RP24-330P10.2	0	0	0	0
RP24-555D5.1	0	0	0	0
RP24-555D5.2	0	0	0	0
Sdpr	3	0	0	0
RP24-240I9.2	0	0	0	0
RP24-267E6.2	0	0	0	0
Nabp1	13078	12544	8905	12344
RP23-273G4.1	2641	2112	1611	2375
RP23-273G4.2	13	12	7	16
RP23-139L20.1	0	0	0	0
Myo1b	38	1	0	0
RP23-373D7.2	0	0	0	0
RP23-348P7.1	0	0	0	0
RP23-348P7.3	0	0	0	0
Gm27607	0	0	0	0
RP23-348P7.2	3	1	2	2
Stat4	3438	3500	3285	3912
RP24-194N4.4	10	7	11	7
RP24-194N4.2	5	10	6	13
RP24-194N4.6	22	8	16	17
Stat1	16598	11283	12030	17198
RP24-194N4.5	19	13	5	9
Gls	1749	1814	1713	1713
RP23-176K16.1	0	0	0	0
Gm23460	0	0	0	0
Nab1	882	747	571	545
RP24-150D18.2	10	15	10	9
Rps27a-ps1	2	0	0	1
RP24-388H6.2	0	0	0	0
RP24-388H6.3	0	0	0	0
RP24-388H6.4	17	14	9	12
Tmem194b	1884	1127	1109	1002
RP24-388H6.6	0	3	0	1
Mfsd6	1433	1261	597	873
RP23-335D20.1	0	0	0	0
RP24-330E8.1	0	0	0	0
Inpp1	1422	1292	1503	1805
Hibch	1074	1051	1146	1290
AC110177.2	0	0	0	0
AC129337.1	5	0	0	12
Mstn	0	0	0	0
Gm24349	0	0	0	0
RP24-481M4.2	0	0	0	0
Pms1	1400	1221	615	1303
RP24-481M4.1	0	0	2	0
Ormdl1	2652	2656	2228	2817
RP24-93I18.2	8	2	1	13
Osgepl1	550	540	334	437
RP24-93I18.4	0	0	0	0
RP24-93I18.3	0	0	0	2
Asnsd1	705	741	604	776
RP24-93I18.5	0	0	0	0
RP24-93I18.6	0	0	0	0
RP24-93I18.7	0	0	0	0
Dnah7a	26	23	9	19
Gm25240	0	0	0	0
Stk17b	24586	23023	20265	28196
RP23-414N3.1	2	0	0	0
Hecw2	19	19	10	5
Mir7681	0	0	0	0
Gm24251	0	0	0	0
RP23-259O15.2	0	0	0	0
Gm25829	0	0	0	0
Ccdc150	0	0	0	0
Gtf3c3	2547	1829	1189	1991
RP23-338P10.4	0	0	0	0
Pgap1	42	66	39	33
RP24-290F15.1	1	0	0	0
RP24-290F15.2	0	0	0	0
Ankrd44	8606	7283	6649	6923
RP24-97J22.2	81	52	59	46
RP23-388I22.1	48	46	31	27
Gm24053	7	5	5	5
RP23-68O7.2	30	24	7	16
Sf3b1	28017	28312	17151	24871
